learning_objectives|taxonomy
Lens formula gives the relationship between the object-distance (u) image-distance (v) and the focal length (f) of a spherical lens.|science>>light - reflection and refraction
The ability of the eye to focus on both near and distant objects by adjusting its focal length is called the accommodation of the eye.|science>>human eye and colourful world
The smallest distance at which the eye can see objects clearly without strain is called the near point of the eye or the least distance of distinct vision. For a young adult with normal vision it is about 25 cm.|science>>human eye and colourful world
The common refractive defects of vision include myopia hypermetropia and presbyopia.|science>>human eye and colourful world
Myopia (short-sightedness – the image of distant objects is focussed before the retina) is corrected by using a concave lens of suitable power.|science>>human eye and colourful world
Hypermetropia (far-sightedness – the image of nearby objects is focussed beyond the retina) is corrected by using a convex lens of suitable power.|science>>human eye and colourful world
The splitting of white light into its component colours is called dispersion.|science>>human eye and colourful world
Scattering of light causes the blue colour of sky and the reddening of the Sun at sunrise and sunset.|science>>human eye and colourful world
A stream of electrons moving through a conductor constitutes an electric current. Conventionally, the direction of current is taken opposite to the direction of flow of electrons.|science>>electricity
The SI unit of electric current is ampere.|science>>electricity
To set the electrons in motion in an electric circuit we use a cell or a battery. A cell generates a potential difference across its terminals. It is measured in volts (V).|science>>electricity
Resistance is a property that resists the flow of electrons in a conductor.|science>>electricity
The potential difference across the ends of a resistor is directly  proportional to the current through it, provided its temperature remains the same.|science>>electricity
The resistance of a conductor depends directly on its length inversely on its area of cross-section and also on the material of the conductor.|science>>electricity
The equivalent resistance of several resistors in series is equal to the sum of their individual resistances.|science>>electricity
A magnetic field exists in the region surrounding a magnet in which the force of the magnet can be detected.|science>>magnetic effects of electric current
Field lines are used to represent a magnetic field.|science>>magnetic effects of electric current
A metallic wire carrying an electric current has associated with it a magnetic field.|science>>magnetic effects of electric current
The field lines about the wire consist of a series of concentric circles whose direction is given by the right-hand rule.|science>>magnetic effects of electric current
The pattern of the magnetic field around a conductor due to an electric current flowing through it depends on the shape of the conductor.|science>>magnetic effects of electric current
The magnetic field of a solenoid carrying a current is similar to that of a bar magnet.|science>>magnetic effects of electric current
An electromagnet consists of a core of soft iron wrapped around with a coil of insulated copper wire.|science>>magnetic effects of electric current
A current-carrying conductor when placed in a magnetic field experiences a force.|science>>magnetic effects of electric current
If the direction of the field and that of the current are mutually perpendicular to each other, then the force acting on the conductor will be perpendicular to both and will be given by Fleming’s left-hand rule|science>>magnetic effects of electric current
The phenomenon of electromagnetic induction is the production of induced current in a coil placed in a region where the magnetic field changes with time.|science>>magnetic effects of electric current
A generator converts mechanical energy into electrical energy. It works on the basis of electromagnetic induction.|science>>magnetic effects of electric current
Fuse is the most important safety device used for protecting the circuits due to short-circuiting or overloading of the circuits.|science>>magnetic effects of electric current
Many of the sources ultimately derive their energy from the Sun.|science>>sources of energy
The producers make the energy from sunlight available to the rest of the ecosystem.|science>>our environment
The various components of an ecosystem are interdependent.|science>>our environment
There is a loss of energy as we go from one trophic level to the next, this limits the number of trophic levels in a food-chain.|science>>our environment
The use of chemicals like CFCs has endangered the ozone layer. Since the ozone layer protects against the ultraviolet radiation from the Sun, this could damage the environment.|science>>our environment
The waste we generate may be biodegradable or non-biodegradable.|science>>our environment
The disposal of the waste we generate is causing serious environmental problems.|science>>our environment
Our resources like forests wildlife water coal and petroleum need to be used in a sustainable manner.|science>>sustainable management of natural resources
Matter is made up of small particles.|science>>matter in our surroundings
The matter around us exists in three states— solid liquid and gas.|science>>matter in our surroundings
The forces of attraction between the particles are maximum in solids, intermediate in liquids and minimum in gases.|science>>matter in our surroundings
The spaces in between the constituent particles and kinetic energy of the particles are minimum in the case of solids, intermediate in liquids and maximum in gases.|science>>matter in our surroundings
The states of matter are inter-convertible. The state of matter can be changed by changing temperature or pressure.|science>>matter in our surroundings
Sublimation is the change of solid state directly to gaseous state without going through liquid state.|science>>matter in our surroundings
Deposition is the change of gaseous state directly to solid state without going through liquid state.|science>>matter in our surroundings
Boiling is a bulk phenomenon. Particles from the bulk (whole) of the liquid change into vapour state.|science>>matter in our surroundings
Evaporation is a surface phenomenon. Particles from the surface gain enough energy to overcome the forces of attraction present in the liquid and change into the vapour state.|science>>matter in our surroundings
The rate of evaporation depends upon the surface area exposed to the atmosphere the temperature the humidity and the wind speed.|science>>matter in our surroundings
Evaporation causes cooling.|science>>matter in our surroundings
Latent heat of vaporisation is the heat energy required to change 1 kg of a liquid to gas at atmospheric pressure at its boiling point.|science>>matter in our surroundings
Latent heat of fusion is the amount of heat energy required to change 1 kg of solid into liquid at its melting point.|science>>matter in our surroundings
A mixture contains more than one substance (element and/ or compound) mixed in any proportion.|science>>is matter around us pure
Mixtures can be separated into pure substances using appropriate separation techniques.|science>>is matter around us pure
A solution is a homogeneous mixture of two or more substances. The major component of a solution is called the solvent and the minor the solute.|science>>is matter around us pure
The concentration of a solution is the amount of solute present per unit volume or per unit mass of the solution.|science>>is matter around us pure
Materials that are insoluble in a solvent and have particles that are visible to naked eyes, form a suspension. A suspension is a heterogeneous mixture.|science>>is matter around us pure
Colloids are heterogeneous mixtures in which the particle size is too small to be seen with the naked eye, but is big enough to scatter light.|science>>is matter around us pure
The particles are called the dispersed phase and the medium in which they are distributed is called the dispersion medium.|science>>is matter around us pure
An element is a form of matter that cannot be broken down by chemical reactions into simpler substances.|science>>is matter around us pure
A compound is a substance composed of two or more different types of elements chemically combined in a fixed proportion.|science>>is matter around us pure
Properties of a compound are different from its constituent elements whereas a mixture shows the properties of its constituting elements or compounds.|science>>is matter around us pure
During a chemical reaction the sum of the masses of the reactants and products remains unchanged. This is known as the Law of Conservation of Mass.|science>>atoms and molecules
According to the Law of Definite Proportions in a pure chemical compound elements are always present in a definite proportion by mass.|science>>atoms and molecules
An atom is the smallest particle of the element that cannot usually exist independently and retain all its chemical properties.|science>>atoms and molecules
A molecule is the smallest particle of an element or a compound capable of independent existence under ordinary conditions. It shows all the properties of the substance.|science>>atoms and molecules
A chemical formula of a compound shows its constituent elements and the number of atoms of each combining element.|science>>atoms and molecules
Clusters of atoms that act as an ion are called polyatomic ions.|science>>atoms and molecules
The chemical formula of a molecular compound is determined by the valency of each element.|science>>atoms and molecules
In ionic compounds the charge on each ion is used to determine the chemical formula of the compound.|science>>atoms and molecules
Mass of 1 mole of a substance is called its molar mass.|science>>atoms and molecules
Rutherford’s model of the atom proposed that a very tiny nucleus is present inside the atom and electrons revolve around this nucleus.|science>>structure of the atom
Valency is the combining capacity of an atom.|science>>structure of the atom
The atomic number of an element is the same as the number of protons in the nucleus of its atom.|science>>structure of the atom
The mass number of an atom is equal to the number of nucleons in its nucleus.|science>>structure of the atom
Isotopes are atoms of the same element, which have different mass numbers.|science>>structure of the atom
Elements are defined by the number of protons they possess.|science>>structure of the atom
Isobars are atoms having the same mass number but different atomic numbers.|science>>structure of the atom
The fundamental organisational unit of life is the cell.|science>>the fundamental unit of life
Cells are enclosed by a plasma membrane composed of lipids and proteins.|science>>the fundamental unit of life
The cell membrane is an active part of the cell. It regulates the movement of materials between the ordered interior of the cell and the outer environment.|science>>the fundamental unit of life
In plant cells a cell wall composed mainly of cellulose is located outside the cell membrane.|science>>the fundamental unit of life
The presence of the cell wall enables the cells of plants fungi and bacteria to exist in hypotonic media without bursting.|science>>the fundamental unit of life
The nucleus in eukaryotes is separated from the cytoplasm by double-layered membrane and it directs the life processes of the cell.|science>>the fundamental unit of life
The ER functions both as a passageway for intracellular transport and as a manufacturing surface. Chromoplasts that contain chlorophyll are called chloroplasts and they perform photosynthesis.|science>>the fundamental unit of life
The primary function of leucoplasts is storage.|science>>the fundamental unit of life
Most mature plant cells have a large central vacuole that helps to maintain the turgidity of the cell and stores important substances including wastes.|science>>the fundamental unit of life
Prokaryotic cells have no membrane-bound organelles their chromosomes are composed of only nucleic acid and they have only very small ribosomes as organelles.|science>>the fundamental unit of life
Cells in organisms divide for growth of body for repalcing dead cells and for forming gametes for reproduction.|science>>the fundamental unit of life
Tissue is a group of cells similar in structure and function.|science>>tissues
Plant tissues are of two main types – meristematic and permanent.|science>>tissues
Meristematic tissue is the dividing tissue present in the growing regions of the plant.|science>>tissues
Permanent tissues are derived from meristematic tissue once they lose the ability to divide. They are classified as simple and complex tissues.|science>>tissues
Animal tissues can be epithelial connective muscular and nervous tissue.|science>>tissues
Depending on shape and function epithelial tissue is classified as squamous cuboidal columnar ciliated and glandular.|science>>tissues
The different types of connective tissues in our body include areolar tissue adipose tissue bone tendon ligament cartilage and blood.|science>>tissues
Striated, unstriated and cardiac are three types of muscle tissues.|science>>tissues
Nervous tissue is made of neurons that receive and conduct impulses.|science>>tissues
Classification helps us in exploring the diversity of life forms.|science>>diversity in living organisms
The classification of life forms is related to their evolution.|science>>diversity in living organisms
Plantae and Animalia are further divided into subdivisions on the basis of increasing complexity of body organisation.|science>>diversity in living organisms
Plants are divided into five groups: Thallophytes Bryophytes Pteridophytes Gymnosperms and Angiosperms.|science>>diversity in living organisms
The binomial nomenclature makes for a uniform way of identification of the vast diversity of life around us.|science>>diversity in living organisms
The binomial nomenclature is made up of two words – a generic name and a specific name.|science>>diversity in living organisms
Motion is a change of position; it can be described in terms of the distance moved or the displacement.|science>>motion
The motion of an object could be uniform or non-uniform depending on whether its velocity is constant or changing.|science>>motion
The speed of an object is the distance covered per unit time, and velocity is the displacement per unit time.|science>>motion
The acceleration of an object is the change in velocity per unit time.|science>>motion
If an object moves in a circular path with uniform speed, its motion is called uniform circular motion.|science>>motion
The natural tendency of objects to resist a change in their state of rest or of uniform motion is called inertia.|science>>force and laws of motion
The mass of an object is a measure of its inertia. Its SI unit is kilogram (kg).|science>>force and laws of motion
Force of friction always opposes motion of objects.|science>>force and laws of motion
The rate of change of momentum of an object is proportional to the applied unbalanced force in the direction of the force.|science>>force and laws of motion
The momentum of an object is the product of its mass and velocity and has the same direction as that of the velocity.|science>>force and laws of motion
To every action, there is an equal and opposite reaction and they act on two different bodies.|science>>force and laws of motion
In an isolated system (where there is no external force), the total momentum remains conserved.|science>>force and laws of motion
An object continues to be in a state of rest or of uniform motion along a straight line unless acted upon by an unbalanced force.|science>>force and laws of motion
The law of gravitation states that the force of attraction between any two objects is proportional to the product of their masses and inversely proportional to the square of the distance between them.|science>>gravitation
Gravitation is a weak force unless large masses are involved.|science>>gravitation
The force of gravity decreases with altitude. It also varies on the surface of the earth, decreasing from poles to the equator.|science>>gravitation
The weight of a body is the force with which the earth attracts it.|science>>gravitation
The weight is equal to the product of mass and acceleration due to gravity.|science>>gravitation
The weight may vary from place to place but the mass stays constant.|science>>gravitation
All objects experience a force of buoyancy when they are immersed in a fluid.|science>>gravitation
Objects having density less than that of the liquid in which they are immersed, float on the surface of the liquid. If the density of the object is more than the density of the liquid in which it is immersed then it sinks in the liquid.|science>>gravitation
Work done on an object is defined as the magnitude of the force multiplied by the distance moved by the object in the direction of the applied force.|science>>work and energy
Work done on an object by a force would be zero if the displacement of the object is zero.|science>>work and energy
An object having capability to do work is said to possess energy.|science>>work and energy
An object in motion possesses what is known as the kinetic energy of the object.|science>>work and energy
The energy possessed by a body due to its change in position or shape is called the potential energy.|science>>work and energy
According to the law of conservation of energy energy can only be transformed from one form to another; it can neither be created nor destroyed.|science>>work and energy
Sound is produced due to vibration of different objects.|science>>sound
Sound travels as a longitudinal wave through a material medium.|science>>sound
Sound travels as successive compressions and rarefactions in the medium.|science>>sound
In sound propagation it is the energy of the sound that travels and not the particles of the medium.|science>>sound
Sound cannot travel in vacuum.|science>>sound
The change in density from one maximum value to the minimum value and again to the maximum value makes one complete oscillation.|science>>sound
The distance between two consecutive compressions or two consecutive rarefactions is called the wavelength.|science>>sound
The time taken by the wave for one complete oscillation of the density or pressure of the medium is called the time period.|science>>sound
The number of complete oscillations per unit time is called the frequency.|science>>sound
The speed of sound depends primarily on the nature and the temperature of the transmitting medium.|science>>sound
The persistence of sound in an auditorium is the result of repeated reflections of sound and is called reverberation.|science>>sound
Sound properties such as pitch loudness and quality are determined by the corresponding wave properties.|science>>sound
Sound waves with frequencies below the audible range are termed “infrasonic” and those above the audible range are termed “ultrasonic”.|science>>sound
Health is a state of physical mental and social well-being.|science>>why do we fall ill?
Diseases are classified as acute or chronic depending on their duration.|science>>why do we fall ill?
Infectious agents belong to different categories of organisms and may be unicellular and microscopic or multicellular.|science>>why do we fall ill?
The category to which a disease-causing organism belongs decides the type of treatment.|science>>why do we fall ill?
Infectious agents are spread through air water physical contact or vectors.|science>>why do we fall ill?
Prevention of disease is more desirable than its successful treatment.|science>>why do we fall ill?
Infectious diseases can be prevented by public health hygiene measures that reduce exposure to infectious agents.|science>>why do we fall ill?
Infectious diseases can also be prevented by using immunisation.|science>>why do we fall ill?
Effective prevention of infectious diseases in the community requires that everyone should have access to public hygiene and immunisation.|science>>why do we fall ill?
Life on Earth depends on resources like soil water and air and energy from the Sun.|science>>natural resources
Uneven heating of air over land and water-bodies causes winds.|science>>natural resources
Evaporation of water from water -bodies and subsequent condensation give us rain.|science>>natural resources
Rainfall patterns depend on the prevailing wind patterns in an area.|science>>natural resources
Various nutrients are used again and again in a cyclic fashion. This leads to a certain balance between the various components of the biosphere.|science>>natural resources
Pollution of air water and soil affect the quality of life and harm the biodiversity.|science>>natural resources
We need to conserve our natural resources and use them in a sustainable manner.|science>>natural resources
Manure and fertilizers are the main sources of nutrient supply to crops.|science>>improvement in food resources
Organic farming is a farming system with minimal or no use of chemicals as fertilizers herbicides pesticides etc. and with a maximum input of organic manures recyled farm wastes  and bio-agents, with healthy cropping systems.|science>>improvement in food resources
Mixed farming is a system of farming on a particular farm which includes crop production, raising of livestock etc.|science>>improvement in food resources
Mixed cropping is growing of two or more crops simultaneously on the same piece of land.|science>>improvement in food resources
Growing two or more crops in definite row patterns is known as inter-cropping.|science>>improvement in food resources
The growing of different crops on a piece of land in pre-planned succession is called crop rotation.|science>>improvement in food resources
Varietal improvement is required for higher yield good quality biotic and abiotic resistance shortening the maturity duration wider adaptability and desirable agronomic characteristics.|science>>improvement in food resources
Farm animals require proper care and management such as shelter feeding breeding and disease control. This is called animal husbandry.|science>>improvement in food resources
Poultry farming is done to raise domestic fowls. Poultry production includes egg production and broiler production for poultry meat.|science>>improvement in food resources
To enhance poultry production cross breeding is done between Indian and exotic breeds for variety improvement.|science>>improvement in food resources
Marine fish capture is done by fishing nets guided by echo- sounders and satellites.|science>>improvement in food resources
Composite fish culture system is commonly used for fish farming.|science>>improvement in food resources
In order to provide food to our growing population we need to adopt certain agricultural practices.|science>>crop production and management
Same kind of plants cultivated at a place constitute a crop.|science>>crop production and management
In India crops can be broadly categorised into two types based on seasons - rabi and kharif crops.|science>>crop production and management
It is necessary to prepare soil by tilling and levelling. Ploughs and levellers are used for this purpose.|science>>crop production and management
Sowing of seeds at appropriate depths and distances gives good yield. Good variety of seeds are sown after selection of healthy seeds. Sowing is done by seed drills.|science>>crop production and management
Soil needs replenishment and enrichment through the use of organic manure and fertilisers. Use of chemical fertilisers has increased tremendously with the introduction of new crop varieties.|science>>crop production and management
Supply of water to crops at appropriate intervals is called irrigation.|science>>crop production and management
Weeding involves removal of unwanted and uncultivated plants called weeds.|science>>crop production and management
Harvesting is the cutting of the mature crop manually or by machines.|science>>crop production and management
Separation of the grains from the chaff is called threshing.|science>>crop production and management
Proper storage of grains is necessary to protect them from pests and microorganisms.|science>>crop production and management
Food is also obtained from animals for which animals are reared. This is called animal husbandry.|science>>crop production and management
Microorganisms are too small and are not visible to the unaided eye|science>>microorganisms : friend and foe
They can live in all kinds of environment ranging from ice cold climate to hot springs and deserts to marshy lands.|science>>microorganisms : friend and foe
Microorganisms are found in air water and in the bodies of plants and animals.|science>>microorganisms : friend and foe
Microorganisms may be unicellular or multicellular.|science>>microorganisms : friend and foe
Microorganisms include bacteria fungi protozoa and some algae. Viruses though different from the above mentioned living organisms are considered microbes.|science>>microorganisms : friend and foe
Viruses are quite different from other microorganisms. They reproduce only inside the host organism: bacterium, plant or animal cell.|science>>microorganisms : friend and foe
Some microorganisms are useful for commercial production of medicines and alcohol.|science>>microorganisms : friend and foe
Some microorganisms decompose the organic waste and dead plants and animals into simple substances and clean up the environment.|science>>microorganisms : friend and foe
Protozoans cause serious diseases like dysentery and malaria.|science>>microorganisms : friend and foe
Some of the microorganisms grow on our food and cause food poisoning.|science>>microorganisms : friend and foe
Some microorganisms reside in the root nodules of leguminous plants. They can fix nitrogen from air into soil and increase the soil fertility.|science>>microorganisms : friend and foe
Some bacteria present in the soil fix nitrogen from the atmosphere and convert into nitrogenous compounds.|science>>microorganisms : friend and foe
Certain bacteria convert compounds of nitrogen present in the soil into nitrogen gas which is released to the atmosphere.|science>>microorganisms : friend and foe
Synthetic fibres and plastics like natural fibres are made of very large units called polymers. Polymers are made up of many smaller units|science>>synthetic fibres and plastics
While natural fibres are obtained from plants and animals synthetic fibres are obtained by chemical processing of petrochemicals. Like natural fibres these fibres can also be woven into fabrics.|science>>synthetic fibres and plastics
Synthetic fibres find uses ranging from many household articles like ropes buckets  furniture  containers  etc.  to highly specialised uses in aircrafts ships spacecrafts healthcare etc.|science>>synthetic fibres and plastics
Depending upon the types of chemicals used for manufacturing synthetic fibres they are called Rayon Nylon Polyester and Acrylic.|science>>synthetic fibres and plastics
The different types of fibres differ from one another in their strength water absorbing capacity nature of burning cost durability etc.|science>>synthetic fibres and plastics
Today life without plastics cannot be imagined. Be it home or outside plastic is everywhere.|science>>synthetic fibres and plastics
The waste created by plastics is not environment friendly. On burning plastics release poisonous gases. On dumping in the ground they may take years to degenerate. This is because of their non-biodegradable nature.|science>>synthetic fibres and plastics
Metals are lustrous whereas non-metals have no lustre.|science>>materials : metals and non-metals
Generally metals are malleable and ductile. Non-metals do not have these properties.|science>>materials : metals and non-metals
Generally metals are good conductors of heat and electricity but non-metals are poor conductors.|science>>materials : metals and non-metals
On burning metals react with oxygen to produce metal oxides which are basic in nature. Non-metals react with oxygen to produce non- metallic oxides which are acidic in nature.|science>>materials : metals and non-metals
Some metals react with water to produce metal hydroxides and hydrogen gas. Generally non-metals do not react with water.|science>>materials : metals and non-metals
Metals react with acids and produce metal salts and hydrogen gas. Generally non-metals do not react with acids.|science>>materials : metals and non-metals
Some metals react with bases to produce hydrogen gas.|science>>materials : metals and non-metals
More reactive metals displace less reactive metals from their compounds in aqueous solutions.|science>>materials : metals and non-metals
Metals and non-metals are used widely in every day life.|science>>materials : metals and non-metals
Coal petroleum and natural gas are fossil fuels.|science>>coal and petroleum
Fossil fuels were formed from the dead remains of living organisms millions of years ago.|science>>coal and petroleum
Fossil fuels are exhaustible resources.|science>>coal and petroleum
Coke coal tar and coal gas are the products of coal.|science>>coal and petroleum
Petroleum gas petrol diesel kerosene paraffin wax lubricating oil are obtained by refining petroleum|science>>coal and petroleum
Coal and petroleum resources are limited. We should use them judiciously.|science>>coal and petroleum
The substances which burn in air are called combustible.|science>>combustion and flame
Oxygen (in air) is essential for combustion.|science>>combustion and flame
Ignition temperature is the lowest temperature at which a combustible substance catches fire.|science>>combustion and flame
During the process of combustion, heat and light are given out.|science>>combustion and flame
Inflammable substances have very low ignition temperature.|science>>combustion and flame
There are various types of combustions such as rapid combustion spontaneous combustion explosion etc.|science>>combustion and flame
There are three different zones of a flame - dark zone luminous zone and non-luminous zone.|science>>combustion and flame
